(848, 29298)
(553, 29291)
(1016, 28970)
(1051, 28893)
(1124, 28237)
(1167, 27959)
(1181, 27529)
(589, 27482)
(1117, 27261)
(910, 27114)
(1569, 27033)
(1623, 27007)
(1562, 26396)
(2402, 25400)
(2243, 25343)
(2604, 25315)
(2443, 25303)
(2790, 25224)
(3006, 25002)
(3039, 24895)
(2814, 24827)
(2656, 24796)
(2648, 24782)
(2282, 24778)
(3172, 24660)
(2407, 24203)
(2269, 24155)
(1976, 24094)
(2247, 23939)
(2601, 23530)
(2897, 22911)
(2676, 22553)
(2714, 22301)
(2716, 22266)
(2472, 22229)
(2617, 22224)
(2656, 22092)
(2695, 22060)
(2983, 21867)
(2853, 21618)
(2626, 21578)
(2682, 21498)
(2750, 21195)
(2753, 21138)
(2731, 21128)
(2439, 21036)
(2864, 20653)
(2847, 20631)
(2786, 20605)
(2916, 20589)
(2831, 20561)
(2855, 20560)
(2858, 20504)
(2936, 20502)
(3017, 19701)
(3235, 19625)
(3459, 19533)
(3477, 19495)
(3607, 19329)
(4123, 19220)
(3663, 19180)
(4343, 19153)
(3701, 19086)
(4099, 18933)
(3995, 18763)
(3975, 18563)
(3955, 18550)
(3939, 18534)
(3472, 18367)
(3896, 18196)
(3895, 18127)
(3848, 18119)
(3881, 17823)
(3882, 17804)
(3726, 17784)
(3890, 17782)
(3927, 17757)
(3824, 17688)
(3848, 17685)
(3141, 16708)
(3144, 16527)
(3145, 15857)
(3246, 15851)
(3165, 15832)
(2928, 15819)
(2719, 15619)
(3330, 15592)
(2681, 14966)
(2548, 14866)
(2898, 14421)
(2843, 14388)
(2876, 14373)
(2580, 14142)
(2871, 14084)
(2930, 13751)
(2687, 13718)
(3435, 13671)
(2972, 13602)
(3073, 13436)
(2790, 13152)
(3108, 13032)
(2962, 12479)
(2659, 12280)
(2876, 12279)
(2610, 11536)
(2917, 11497)
(2920, 11387)
(2910, 11300)
(2874, 11253)
(3019, 11241)
(2901, 11153)
(2904, 10858)
(2809, 10715)
(3361, 10675)
(3162, 10534)
(2943, 10098)
(3273, 10072)
(3247, 10066)
(3055, 10039)
(3248, 10038)
(3030, 10029)
(3363, 9961)
(3542, 9885)
(3263, 9882)
(3590, 9869)
(3214, 9854)
(3222, 9812)
(3273, 9724)
(3266, 9266)
(3137, 9246)
(3004, 9156)
(2826, 9056)
(3111, 8726)
(3220, 8682)
(3929, 8113)
(3827, 8079)
(3666, 7941)
(3609, 7930)
(3577, 7905)
(3474, 7705)
(3503, 7691)
(3698, 7592)
(3709, 7572)
(3690, 7570)
(3687, 7559)
(3583, 7542)
(3616, 7533)
(3671, 7515)
(3571, 7510)
(3698, 7508)
(3733, 7499)
(3714, 7462)
(3776, 7456)
(3711, 7449)
(3712, 7418)
(3491, 7416)
(3722, 7403)
(3702, 7397)
(3689, 7388)
(3592, 7386)
(3927, 7365)
(3580, 7358)
(3701, 7353)
(3577, 7341)
(3962, 7333)
(3694, 7329)
(3687, 7329)
(3930, 7311)
(3938, 7298)
(3694, 7282)
(3582, 7278)
(3688, 7277)
(3694, 7273)
(3568, 7266)
(3916, 7259)
(3949, 7257)
(3700, 7246)
(3754, 7237)
(3733, 7208)
(3741, 7178)
(3783, 7165)
(3882, 7156)
(3989, 7099)
(3873, 7068)
(4014, 7056)
(4053, 7043)
(4357, 6901)
(4306, 6898)
(4223, 6897)
(4598, 6863)
(4320, 6857)
(4318, 6766)
(4437, 6013)
(4385, 5986)
(4433, 5554)
(4669, 5462)
(4705, 5247)
(4481, 5241)
(5408, 4673)
(5480, 4494)
(5547, 4478)
(5832, 4330)
(6169, 4219)
(6098, 4132)
(6036, 4101)
(5851, 4032)
(6070, 3526)
(6252, 2672)
(6200, 2627)
(6269, 1760)
(6584, 1554)
(6401, 1501)
